"id","pais","region","pais_wo","region_wo","continente","poblacion","date_cero","last_updated","casos_total","muertes_total","recuperados_total","muertes_per","recuperados_per","casos_pc","muertes_pc","recuperados_pc","casos_l14","muertes_l14","recuperados_l14","casos_pc_l14","muertes_pc_l14","recuperados_pc_l14","casos_m_l14","muertes_m_l14","recuperados_m_l14","muertes_m_l21","recuperados_m_l21","casos_lw","muertes_lw","recuperados_lw","casos_pc_lw","muertes_pc_lw","recuperados_pc_lw","casos_m_lw","muertes_m_lw","recuperados_m_lw","casos_l3","muertes_l3","recuperados_l3","casos_pc_l3","muertes_pc_l3","recuperados_pc_l3","casos_m_l3","muertes_m_l3","recuperados_m_l3","tendencia","tendencia_val","casos_d","casos_diff","casos_change_per","casos_change_per_m_lw","casos_change_per_m_l3","velocidad","velocidad_val","escenarios","escenarios_color","distribucion","pruebas_total","pruebas_pc","positivos_per","pruebas_lw","pruebas_pc_lw","pruebas_per_lw","hospitalizaciones_total","hospitalizaciones_per","movilidad_total","movilidad_lw","cuarentena_fd","cuarentena_d","region_img","rank_last_updated","rank_color_last_updated","rank_tendencia","rank_color_tendencia","rank_velocidad","rank_color_velocidad","rank_escenarios","rank_color_escenarios","rank_escenarios_color","rank_color_escenarios_color","rank_region_img","rank_color_region_img","rank_cuarentena_fd","rank_color_cuarentena_fd","rank_date_cero","rank_color_date_cero","rank_casos_total","rank_color_casos_total","rank_muertes_total","rank_color_muertes_total","rank_muertes_per","rank_color_muertes_per","rank_casos_pc","rank_color_casos_pc","rank_muertes_pc","rank_color_muertes_pc","rank_casos_l14","rank_color_casos_l14","rank_muertes_l14","rank_color_muertes_l14","rank_recuperados_l14","rank_color_recuperados_l14","rank_casos_pc_l14","rank_color_casos_pc_l14","rank_muertes_pc_l14","rank_color_muertes_pc_l14","rank_recuperados_pc_l14","rank_color_recuperados_pc_l14","rank_casos_m_l14","rank_color_casos_m_l14","rank_muertes_m_l14","rank_color_muertes_m_l14","rank_recuperados_m_l14","rank_color_recuperados_m_l14","rank_casos_l21","rank_color_casos_l21","rank_muertes_l21","rank_color_muertes_l21","rank_recuperados_l21","rank_color_recuperados_l21","rank_casos_pc_l21","rank_color_casos_pc_l21","rank_muertes_pc_l21","rank_color_muertes_pc_l21","rank_recuperados_pc_l21","rank_color_recuperados_pc_l21","rank_muertes_m_l21","rank_color_muertes_m_l21","rank_recuperados_m_l21","rank_color_recuperados_m_l21","rank_casos_lw","rank_color_casos_lw","rank_muertes_lw","rank_color_muertes_lw","rank_casos_pc_lw","rank_color_casos_pc_lw","rank_muertes_pc_lw","rank_color_muertes_pc_lw","rank_casos_m_lw","rank_color_casos_m_lw","rank_muertes_m_lw","rank_color_muertes_m_lw","rank_casos_l3","rank_color_casos_l3","rank_muertes_l3","rank_color_muertes_l3","rank_recuperados_l3","rank_color_recuperados_l3","rank_casos_pc_l3","rank_color_casos_pc_l3","rank_muertes_pc_l3","rank_color_muertes_pc_l3","rank_recuperados_pc_l3","rank_color_recuperados_pc_l3","rank_casos_m_l3","rank_color_casos_m_l3","rank_muertes_m_l3","rank_color_muertes_m_l3","rank_recuperados_m_l3","rank_color_recuperados_m_l3","rank_tendencia_val","rank_color_tendencia_val","rank_casos_d","rank_color_casos_d","rank_casos_diff","rank_color_casos_diff","rank_casos_change_per","rank_color_casos_change_per","rank_casos_change_per_m_lw","rank_color_casos_change_per_m_lw","rank_casos_change_per_m_l3","rank_color_casos_change_per_m_l3","rank_velocidad_val","rank_color_velocidad_val","rank_distribucion","rank_color_distribucion","rank_poblacion","rank_color_poblacion","rank_cuarentena_d","rank_color_cuarentena_d","rank_pruebas_total","rank_color_pruebas_total","rank_pruebas_pc","rank_color_pruebas_pc","rank_positivos_per","rank_color_positivos_per","rank_pruebas_lw","rank_color_pruebas_lw","rank_pruebas_pc_lw","rank_color_pruebas_pc_lw","rank_pruebas_per_lw","rank_color_pruebas_per_lw","rank_hospitalizaciones_total","rank_color_hospitalizaciones_total","rank_hospitalizaciones_per","rank_color_hospitalizaciones_per","rank_recuperados_total","rank_color_recuperados_total","rank_recuperados_lw","rank_color_recuperados_lw","rank_recuperados_pc","rank_color_recuperados_pc","rank_recuperados_per","rank_color_recuperados_per","rank_recuperados_pc_lw","rank_color_recuperados_pc_lw","rank_recuperados_m_lw","rank_color_recuperados_m_lw","rank_movilidad_total","rank_color_movilidad_total","rank_movilidad_lw","rank_color_movilidad_lw"
12,"Argentina","Córdoba","Argentina","Cordoba","Latinoamérica",3722332,"2020-04-16","2020-07-04",678,38,402,5.6047197640118,59.2920353982301,18.2143881846112,1.02086541447673,10.7996814899907,88,0,0,2.36410938089348,0,0,7.28571428571429,0,0,0.428571428571429,0,61,1,2,1.63875763902844,0.026864879328335,0.0537297586566701,8.71428571428571,0.142857142857143,0.285714285714286,28,1,2,0.752216621193381,0.026864879328335,0.0537297586566701,9.33333333333333,0.333333333333333,0.666666666666667,"Aumentando",19.6078431372549,8,8,0,112.121212121212,224.242424242424,"Acelerando",100,"<h2>La situación del coronavirus en Córdoba esta controlada:</h2><br>Hay que considerar también que la data de casos en Córdoba es poco confiable ya que el porcentaje de pruebas positivas es muy alto (26%), el porcentaje de hospitalizaciones es inexistentes, el porcentaje de muertes es muy alto (6%), lo que indica que solo están administrando pruebas a personas con síntomas críticos, y que el número de casos reales es mucho mayor que el reportado.<br><br>• Las cifras de casos / 100 mil hab. (18),  son leves en comparación con otras regiones. <br>• La tendencia de casos parece estar disminuyendo si comparamos la última semana con la anterior.<br><br><br><b>En conclusión,</b> se puede volver a la normalidad sin problemas, siempre y cuando se monitoreen diariamente los casos en los últimos 7 días por cada mil habitantes.","good",0.00871442893498882,2658,71.4068492547145,25.5079006772009,400,10.745951731334,0.00652387485541264,,,-58.9260273972603,-49.8571428571429,"2020-03-20",108,"https://drive.google.com/open?id=1eHEPmQxf-aLk7rhSozCCnymsBlejsNAl",1,"gray",2,"gray",2,"gray",148,"gray",2,"gray",9,"gray",13,"gray",55,"gray",151,"good",113,"mid",54,"bad",208,"good",152,"good",158,"good",142,"good",59,"good",202,"good",142,"good",59,"good",165,"good",142,"good",59,"good",165,"good",92,"good",56,"good",201,"good",108,"good",56,"good",92,"good",56,"good",179,"good",133,"good",207,"good",148,"good",179,"good",133,"good",177,"good",132,"good",70,"good",208,"good",147,"good",71,"good",177,"good",132,"good",70,"good",103,"mid",176,"good",131,"good",74,"mid",7,"bad",7,"bad",100,"mid",150,"good",34,"gray",84,"gray",93,"gray",129,"gray",85,"gray",55,"gray",110,"gray",97,"gray",,,,,54,"gray",70,"gray",92,"gray",33,"gray",71,"gray",70,"gray",40,"good",54,"good"
13,"Argentina","Chaco","Argentina","Chaco","Latinoamérica",1192616,"2020-04-16","2020-07-04",2209,107,1389,4.84382073336351,62.8791308284292,185.223072640313,8.97187359552446,116.466658169939,336,7,0,28.1733600756656,0.586945001576367,0,37.2857142857143,1,0,1.57142857142857,0,363,21,214,30.4372907960316,1.7608350047291,17.9437471910489,51.8571428571429,3,30.5714285714286,180,21,214,15.0928714691066,1.7608350047291,17.9437471910489,60,7,71.3333333333333,"Aumentando",39.0804597701149,37,81,-54.320987654321,-4.73516527279968,-11.8379131819992,"Desacelerando",150,"<h2>La situación del coronavirus en Chaco es delicada:</h2><br>• La tendencia de casos no parece estar disminuyendo si comparamos la última semana con la anterior.<br>• La data de casos en Chaco es poco confiable ya que el porcentaje de pruebas positivas es muy alto (25%), el porcentaje de hospitalizaciones es inexistente, lo que indica que solo están administrando pruebas a personas con síntomas críticos, y que el número de casos reales es mucho mayor que el reportado.<br><br><b>Por el lado positivo:</b><br>• La gente parece estar cumpliendo la cuarentena de manera estricta, con  una reducción de movilidad de un -55% en los últimos 7 días en comparación a la vida normal (las regiones que mejor cumplen la cuarentena reducen la movilidad al menos un 50%, con algunas incluso acercándose al 80% en los días más críticos). Ver gráfico de abajo.<br><br><b>En conclusión,</b> es recomendable mantener una cuarentena así sea flexible hasta ver semanas consecutivas con descenso de casos.","mid",0.0283925863088352,8663,726.386364093723,25.499249682558,1305,109.423318151023,0.0693461195430181,,,-57.4301369863014,-55.3714285714286,"2020-03-18",110,"https://rodillo.org/coronavirus/assets/img/default_banner.png",1,"gray",2,"gray",1,"gray",162,"gray",4,"gray",1,"gray",15,"gray",55,"gray",101,"mid",87,"mid",70,"mid",111,"mid",91,"mid",99,"mid",106,"good",59,"good",109,"mid",119,"good",59,"good",102,"mid",106,"good",59,"good",102,"mid",72,"mid",56,"good",113,"mid",69,"mid",56,"good",72,"mid",56,"good",96,"mid",83,"mid",108,"mid",66,"mid",96,"mid",83,"mid",92,"mid",78,"mid",16,"bad",100,"mid",49,"bad",23,"bad",92,"mid",78,"mid",16,"bad",85,"mid",115,"mid",64,"mid",194,"good",156,"good",175,"good",29,"bad",61,"bad",99,"gray",59,"gray",47,"gray",46,"gray",90,"gray",24,"gray",22,"gray",38,"gray",,,,,35,"gray",17,"gray",17,"gray",25,"gray",26,"gray",17,"gray",47,"good",37,"good"
14,"Argentina","Buenos Aires","Argentina","Buenos Aires","Latinoamérica",3072029,"2020-04-16","2020-06-23",20031,400,,1.99690479756378,0,652.04462588081,13.0207104164707,,3854,50,0,125.454544862695,1.62758880205883,0,421.142857142857,7.14285714285714,0,8.85714285714286,0,4749,95,0,154.588384419548,3.09241872391179,0,678.428571428571,13.5714285714286,0,2373,46,0,77.2453645457123,1.49738169789413,0,791,15.3333333333333,0,"Aumentando",61.0922659430122,1024,675,51.7037037037037,10.7366942751392,17.2840238854087,"Acelerando",60.9808702985036,"<h2>La situación del coronavirus en Buenos Aires es sumamente grave:</h2><br>• Las cifras de casos (20,031), casos / 100 mil hab. (652), casos en los últimos 7 días (4,749), casos / 100 mil hab. en los últimos 7 días (154), se encuentran entre las peores del continente. <br>• La tendencia de casos parece estar aumentando si comparamos la última semana con la anterior.<br>• La data de casos en Buenos Aires es poco confiable ya que el porcentaje de pruebas positivas es muy alto (25%), el porcentaje de hospitalizaciones es inexistente, lo que indica que solo están administrando pruebas a personas con síntomas críticos, y que el número de casos reales es mucho mayor que el reportado.<br><br><b>Por el lado positivo:</b><br>• La gente parece estar cumpliendo la cuarentena de manera estricta, con  una reducción de movilidad de un -58% en los últimos 7 días en comparación a la vida normal (las regiones que mejor cumplen la cuarentena reducen la movilidad al menos un 50%, con algunas incluso acercándose al 80% en los días más críticos). Ver gráfico de abajo.<br><br><b>En conclusión,</b> definitivamente es fundamental dictar y cumplir medidas drásticas de cuarentena para poder comenzar a controlar la situación.","bad",0.257461247782833,78557,2557.16987046672,25.4986824853291,11836,385.282821223367,5.7032646380521,,,-63.0164383561644,-57.8571428571429,"2020-03-20",108,"https://drive.google.com/open?id=1eHEPmQxf-aLk7rhSozCCnymsBlejsNAl",7,"gray",2,"gray",2,"gray",174,"gray",4,"gray",9,"gray",13,"gray",55,"gray",28,"bad",49,"bad",141,"good",37,"bad",71,"mid",27,"bad",59,"mid",59,"good",27,"bad",82,"mid",59,"good",27,"bad",59,"mid",59,"good",27,"bad",42,"mid",56,"good",36,"bad",46,"mid",56,"good",42,"mid",56,"good",27,"bad",39,"bad",23,"bad",49,"bad",27,"bad",39,"bad",17,"bad",47,"bad",72,"good",15,"bad",60,"mid",72,"good",17,"bad",47,"bad",72,"good",74,"mid",22,"bad",15,"bad",38,"bad",62,"bad",56,"bad",109,"mid",8,"bad",47,"gray",84,"gray",6,"gray",12,"gray",91,"gray",4,"gray",6,"gray",7,"gray",,,,,,,72,"gray",,,109,"gray",72,"gray",72,"gray",23,"good",20,"good"
15,"Argentina","Chubut","Argentina","Chubut","Latinoamérica",608729,"2020-06-24","2020-07-04",148,1,75,0.675675675675676,50.6756756756757,24.3129537117502,0.164276714268583,12.3207535701437,31,0,0,5.09257814232606,0,0,8.57142857142857,0,0,0,0,31,0,17,5.09257814232606,0,2.7927041425659,4.42857142857143,0,2.42857142857143,16,0,17,2.62842742829732,0,2.7927041425659,5.33333333333333,0,5.66666666666667,"Descendiendo",-48.3333333333333,4,7,-42.8571428571429,-0.571428571428574,-1.42857142857143,"Desacelerando",150,"<h2>La situación del coronavirus en Chubut parece estar controlada:</h2><br>Hay que considerar también que la data de casos en Chubut es poco confiable ya que el porcentaje de pruebas positivas es muy alto (26%), el porcentaje de hospitalizaciones es inexistentes, lo que indica que solo están administrando pruebas a personas con síntomas críticos, y que el número de casos reales es mucho mayor que el reportado.<br><br>• Las cifras de casos / 100 mil hab. (24),  son leves en comparación con otras regiones. <br>• La tendencia de casos no parece estar aumentando si comparamos la última semana con la anterior.<br>• La gente parece estar cumpliendo la cuarentena de manera estricta, con una reducción de movilidad de un -56% en los últimos 7 días en comparación a la vida normal (las regiones que mejor cumplen la cuarentena reducen la movilidad al menos un 50%, con algunas incluso acercándose al 80% en los días más críticos). Ver gráfico de abajo.<br><br><br><b>En conclusión,</b> se puede ir flexibilizando las medidas y volver a la normalidad, siempre y cuando se monitoreen diariamente los casos en los últimos 7 días por cada mil hab.","good",0.0019022647232719,580,95.2804942757779,25.5172413793103,87,14.2920741413667,0.0003097397221176,,,-54.2,-55.6,"2020-03-19",109,"https://rodillo.org/coronavirus/assets/img/default_banner.png",1,"gray",1,"gray",1,"gray",205,"gray",3,"gray",1,"gray",14,"gray",3,"gray",198,"good",167,"good",166,"good",202,"good",169,"good",187,"good",142,"good",59,"good",192,"good",142,"good",59,"good",160,"good",142,"good",59,"good",160,"good",112,"good",56,"good",166,"good",112,"good",56,"good",112,"good",56,"good",191,"good",149,"good",195,"good",149,"good",191,"good",149,"good",190,"good",148,"good",53,"good",189,"good",148,"good",49,"good",190,"good",148,"good",53,"good",190,"good",190,"good",132,"good",187,"good",128,"mid",159,"good",29,"bad",210,"good",138,"gray",62,"gray",131,"gray",126,"gray",82,"gray",125,"gray",101,"gray",143,"gray",,,,,93,"gray",55,"gray",88,"gray",51,"gray",52,"gray",55,"gray",66,"good",36,"good"
16,"Argentina","Corrientes","Argentina","Corrientes","Latinoamérica",1111052,"2020-06-12","2020-07-02",118,0,109,0,92.3728813559322,10.6205650140587,0,9.81052191976613,9,0,0,0.810043094292616,0,0,1.28571428571429,0,0,0,0,2,0,0,0.18000957650947,0,0,0.285714285714286,0,0,2,0,0,0.18000957650947,0,0,0.666666666666667,0,0,"Descendiendo",-77.7777777777778,1,,0,0,0,"Desacelerando",0,"<h2>La situación del coronavirus en Corrientes esta controlada:</h2><br>Hay que considerar también que la data de casos en Corrientes es poco confiable ya que el porcentaje de pruebas positivas es muy alto (26%), el porcentaje de hospitalizaciones es inexistentes, lo que indica que solo están administrando pruebas a personas con síntomas críticos, y que el número de casos reales es mucho mayor que el reportado.<br><br>• Las cifras de casos / 100 mil hab. (11),  son leves en comparación con otras regiones. <br>• La tendencia de casos parece estar disminuyendo si comparamos la última semana con la anterior.<br><br><br><b>En conclusión,</b> se puede volver a la normalidad sin problemas, siempre y cuando se monitoreen diariamente los casos en los últimos 7 días por cada mil habitantes.","good",0.00151667052260867,462,41.5822121736876,25.5411255411255,69,6.21033038957673,0.000195860579176879,,,-41.1625,-41.3714285714286,"2020-03-20",108,"https://rodillo.org/coronavirus/assets/img/default_banner.png",3,"gray",1,"gray",1,"gray",205,"gray",3,"gray",1,"gray",13,"gray",10,"gray",207,"good",171,"good",171,"good",210,"good",171,"good",204,"good",142,"good",59,"good",206,"good",142,"good",59,"good",201,"good",142,"good",59,"good",201,"good",112,"good",56,"good",205,"good",112,"good",56,"good",112,"good",56,"good",211,"good",149,"good",212,"good",149,"good",211,"good",149,"good",211,"good",148,"good",72,"good",212,"good",148,"good",72,"good",211,"good",148,"good",72,"good",208,"good",209,"good",,,74,"mid",109,"mid",95,"mid",117,"mid",211,"good",102,"gray",84,"gray",132,"gray",131,"gray",80,"gray",131,"gray",117,"gray",145,"gray",,,,,84,"gray",72,"gray",94,"gray",1,"gray",72,"gray",72,"gray",142,"bad",99,"mid"
17,"Argentina","Entre Ríos","Argentina","Entre Rios","Latinoamérica",1373270,"2020-06-17","2020-07-04",320,0,56,0,17.5,23.30204548268,0,4.077857959469,38,0,0,2.76711790106825,0,0,7.42857142857143,0,0,0,0,312,0,0,22.719494345613,0,0,44.5714285714286,0,0,312,0,0,22.719494345613,0,0,104,0,0,"Aumentando",500,10,17,-41.1764705882353,-67.6057791537668,-67.6057791537668,"Desacelerando",0,"<h2>La situación del coronavirus en Entre Ríos es sumamente grave:</h2><br>• La tendencia de casos parece estar aumentando si comparamos la última semana con la anterior.<br>• La data de casos en Entre Ríos es poco confiable ya que el porcentaje de pruebas positivas es muy alto (25%), el porcentaje de hospitalizaciones es inexistente, lo que indica que solo están administrando pruebas a personas con síntomas críticos, y que el número de casos reales es mucho mayor que el reportado.<br><br><b>Por el lado positivo:</b><br>• Las cifras de casos / 100 mil hab. (23),  aun no son tan críticas en comparación con otras regiones.<br>• La gente parece estar cumpliendo la cuarentena de manera estricta, con  una reducción de movilidad de un -50% en los últimos 7 días en comparación a la vida normal (las regiones que mejor cumplen la cuarentena reducen la movilidad al menos un 50%, con algunas incluso acercándose al 80% en los días más críticos). Ver gráfico de abajo.<br><br><b>En conclusión,</b> definitivamente es fundamental dictar y cumplir medidas drásticas de cuarentena para poder comenzar a controlar la situación.","bad",0.00411300480707437,1254,91.3148907352523,25.518341307815,189,13.7627706132079,0.00145488182616282,,,-47.7818181818182,-49.7714285714286,"2020-03-20",108,"https://rodillo.org/coronavirus/assets/img/default_banner.png",1,"gray",2,"gray",1,"gray",135,"gray",4,"gray",1,"gray",13,"gray",8,"gray",179,"good",171,"good",171,"good",205,"good",171,"good",177,"good",142,"good",59,"good",201,"good",142,"good",59,"good",164,"good",142,"good",59,"good",164,"good",112,"good",56,"good",191,"good",112,"good",56,"good",112,"good",56,"good",100,"mid",149,"good",126,"mid",149,"good",100,"mid",149,"good",63,"bad",148,"good",72,"good",83,"mid",148,"good",72,"good",63,"bad",148,"good",72,"good",7,"bad",169,"good",111,"good",186,"good",211,"good",210,"good",117,"mid",187,"good",88,"gray",84,"gray",118,"gray",127,"gray",81,"gray",84,"gray",103,"gray",125,"gray",,,,,95,"gray",72,"gray",104,"gray",90,"gray",72,"gray",72,"gray",104,"mid",55,"good"
19,"Argentina","Jujuy","Argentina","Jujuy","Latinoamérica",762440,"2020-07-02","2020-07-04",174,5,13,2.8735632183908,7.47126436781609,22.8214679187871,0.655789308011122,1.70505220082892,3,0,0,0.393473584806673,0,0,0.571428571428571,0,0,0,0,159,1,0,20.8540999947537,0.131157861602224,0,22.7142857142857,0.142857142857143,0,159,1,0,20.8540999947537,0.131157861602224,0,53,0.333333333333333,0,"Aumentando",3875,35,10,250,79.3859649122807,79.3859649122807,"Desacelerando",0,"<h2>La situación del coronavirus en Jujuy es sumamente grave:</h2><br>• La tendencia de casos parece estar aumentando si comparamos la última semana con la anterior.<br>• La data de casos en Jujuy es poco confiable ya que el porcentaje de pruebas positivas es muy alto (25%), el porcentaje de hospitalizaciones es inexistente, lo que indica que solo están administrando pruebas a personas con síntomas críticos, y que el número de casos reales es mucho mayor que el reportado.<br><br><b>Por el lado positivo:</b><br>• Las cifras de casos / 100 mil hab. (22),  aun no son tan críticas en comparación con otras regiones.<br>• La gente parece estar cumpliendo la cuarentena de manera estricta, con  una reducción de movilidad de un -62% en los últimos 7 días en comparación a la vida normal (las regiones que mejor cumplen la cuarentena reducen la movilidad al menos un 50%, con algunas incluso acercándose al 80% en los días más críticos). Ver gráfico de abajo.<br><br><b>En conclusión,</b> definitivamente es fundamental dictar y cumplir medidas drásticas de cuarentena para poder comenzar a controlar la situación.","bad",0.00223644636384669,682,89.4496616127171,25.5131964809384,102,13.3781018834269,0.000426938535891827,,,,-62.2,"2020-03-19",109,"https://rodillo.org/coronavirus/assets/img/default_banner.png",1,"gray",2,"gray",1,"gray",115,"gray",4,"gray",1,"gray",14,"gray",1,"gray",193,"good",157,"good",113,"mid",206,"good",160,"good",207,"good",142,"good",59,"good",207,"good",142,"good",59,"good",206,"good",142,"good",59,"good",206,"good",112,"good",56,"good",210,"good",112,"good",56,"good",112,"good",56,"good",139,"mid",133,"good",131,"mid",142,"good",139,"mid",133,"good",97,"mid",132,"good",72,"good",87,"mid",140,"good",72,"good",97,"mid",132,"good",72,"good",2,"bad",119,"mid",128,"good",11,"bad",10,"bad",17,"bad",117,"mid",206,"good",127,"gray",62,"gray",129,"gray",128,"gray",84,"gray",117,"gray",104,"gray",141,"gray",,,,,106,"gray",72,"gray",106,"gray",100,"gray",72,"gray",72,"gray",,,13,"good"
22,"Argentina","Mendoza","Argentina","Mendoza","Latinoamérica",1969982,"2020-06-02","2020-07-04",176,10,100,5.68181818181818,56.8181818181818,8.93409178357975,0.507618851339758,5.07618851339758,28,0,0,1.42133278375132,0,0,2.57142857142857,0,0,0,0,25,1,4,1.2690471283494,0.0507618851339758,0.203047540535903,3.57142857142857,0.142857142857143,0.571428571428571,11,1,4,0.558380736473734,0.0507618851339758,0.203047540535903,3.66666666666667,0.333333333333333,1.33333333333333,"Aumentando",38.8888888888889,2,4,-50,-9,-35,"Desacelerando",288.888888888889,"<h2>La situación del coronavirus en Mendoza esta controlada:</h2><br>Hay que considerar también que la data de casos en Mendoza es poco confiable ya que el porcentaje de pruebas positivas es muy alto (26%), el porcentaje de hospitalizaciones es inexistentes, el porcentaje de muertes es muy alto (6%), lo que indica que solo están administrando pruebas a personas con síntomas críticos, y que el número de casos reales es mucho mayor que el reportado.<br><br>• Las cifras de casos / 100 mil hab. (9),  son leves en comparación con otras regiones. <br>• La tendencia de casos parece estar disminuyendo si comparamos la última semana con la anterior.<br><br><br><b>En conclusión,</b> se puede volver a la normalidad sin problemas, siempre y cuando se monitoreen diariamente los casos en los últimos 7 días por cada mil habitantes.","good",0.0022621526438909,690,35.0257007424433,25.5072463768116,103,5.22847416879951,0.000436079658476845,,,-37.6230769230769,-38.2285714285714,"2020-03-20",108,"https://rodillo.org/coronavirus/assets/img/default_banner.png",1,"gray",2,"gray",1,"gray",88,"gray",4,"gray",1,"gray",13,"gray",17,"gray",192,"good",146,"good",51,"bad",211,"good",165,"good",191,"good",142,"good",59,"good",205,"good",142,"good",59,"good",194,"good",142,"good",59,"good",194,"good",112,"good",56,"good",203,"good",112,"good",56,"good",112,"good",56,"good",197,"good",133,"good",209,"good",146,"good",197,"good",133,"good",196,"good",132,"good",66,"good",210,"good",145,"good",69,"good",196,"good",132,"good",66,"good",86,"mid",204,"good",145,"good",191,"good",186,"good",202,"good",8,"bad",205,"good",69,"gray",84,"gray",127,"gray",132,"gray",86,"gray",116,"gray",124,"gray",140,"gray",,,,,87,"gray",66,"gray",103,"gray",38,"gray",69,"gray",66,"gray",162,"bad",125,"mid"
23,"Argentina","Neuquén","Argentina","Neuquen","Latinoamérica",655501,"2020-04-21","2020-07-04",547,17,186,3.10786106032907,34.0036563071298,83.4476225055339,2.59343616561988,28.3752427532529,41,1,0,6.2547578112009,0.152555068565876,0,13.4285714285714,0.142857142857143,0,0.285714285714286,0,540,3,23,82.3797370255728,0.457665205697627,3.50876657701514,77.1428571428571,0.428571428571429,3.28571428571429,540,3,23,82.3797370255728,0.457665205697627,3.50876657701514,180,1,7.66666666666667,"Aumentando",474.468085106383,15,27,-44.4444444444444,-69.5113788487282,-69.5113788487282,"Desacelerando",0,"<h2>La situación del coronavirus en Neuquén es sumamente grave:</h2><br>• Las cifras de casos / 100 mil hab. en los últimos 7 días (82), se encuentran entre las peores del continente. <br>• La tendencia de casos parece estar aumentando si comparamos la última semana con la anterior.<br>• La data de casos en Neuquén es poco confiable ya que el porcentaje de pruebas positivas es muy alto (25%), el porcentaje de hospitalizaciones es inexistente, lo que indica que solo están administrando pruebas a personas con síntomas críticos, y que el número de casos reales es mucho mayor que el reportado.<br><br><b>Por el lado positivo:</b><br>• Las cifras de casos / 100 mil hab. (83),  aun no son tan críticas en comparación con otras regiones.<br>• La gente parece estar cumpliendo la cuarentena de manera estricta, con  una reducción de movilidad de un -50% en los últimos 7 días en comparación a la vida normal (las regiones que mejor cumplen la cuarentena reducen la movilidad al menos un 50%, con algunas incluso acercándose al 80% en los días más críticos). Ver gráfico de abajo.<br><br><b>En conclusión,</b> definitivamente es fundamental dictar y cumplir medidas drásticas de cuarentena para poder comenzar a controlar la situación.","bad",0.00703066759209275,2145,327.230622073803,25.5011655011655,323,49.2752871467778,0.00425016494590398,,,-55.6823529411765,-50.1142857142857,"2020-03-20",108,"https://drive.google.com/open?id=1HoWY2FMzbOZvWngEkhPTHBX2FAgS75wI",1,"gray",2,"gray",1,"gray",76,"gray",4,"gray",7,"gray",13,"gray",51,"gray",161,"good",132,"good",101,"mid",163,"good",133,"good",175,"good",133,"good",59,"good",183,"good",135,"good",59,"good",146,"good",133,"good",59,"good",146,"good",98,"good",56,"good",144,"good",96,"good",56,"good",98,"good",56,"good",81,"mid",123,"good",49,"bad",117,"good",81,"mid",123,"good",49,"bad",123,"good",46,"mid",14,"bad",112,"good",46,"mid",49,"bad",123,"good",46,"mid",8,"bad",152,"good",98,"mid",188,"good",212,"good",211,"good",117,"mid",163,"good",133,"gray",84,"gray",100,"gray",90,"gray",89,"gray",63,"gray",60,"gray",108,"gray",,,,,68,"gray",49,"gray",67,"gray",81,"gray",49,"gray",49,"gray",56,"good",53,"good"
24,"Argentina","Río Negro","Argentina","Rio Negro","Latinoamérica",738060,"2020-04-16","2020-06-23",699,37,,5.29327610872675,0,94.7077473376148,5.01314256293526,,86,6,0,11.652169200336,0.812942037232745,0,10.1428571428571,0.857142857142857,0,0.571428571428571,0,135,9,0,18.2911958377368,1.21941305584912,0,19.2857142857143,1.28571428571429,0,54,6,0,7.31647833509471,0.812942037232745,0,18,2,0,"Aumentando",90.1408450704225,8,23,-65.2173913043478,5.26350636873107,-21.7391304347826,"Desacelerando",-513.016132438413,"<h2>La situación del coronavirus en Río Negro es delicada:</h2><br>• La tendencia de casos parece estar aumentando si comparamos la última semana con la anterior.<br>• La data de casos en Río Negro es poco confiable ya que el porcentaje de pruebas positivas es muy alto (25%), el porcentaje de hospitalizaciones es inexistente, el porcentaje de muertes es muy alto (5%), lo que indica que solo están administrando pruebas a personas con síntomas críticos, y que el número de casos reales es mucho mayor que el reportado.<br><br><b>Por el lado positivo:</b><br>• Las cifras de casos / 100 mil hab. (94),  aun no son tan críticas en comparación con otras regiones.<br>• La gente parece estar cumpliendo la cuarentena de manera estricta, con  una reducción de movilidad de un -63% en los últimos 7 días en comparación a la vida normal (las regiones que mejor cumplen la cuarentena reducen la movilidad al menos un 50%, con algunas incluso acercándose al 80% en los días más críticos). Ver gráfico de abajo.<br><br><b>En conclusión,</b> es recomendable mantener una cuarentena así sea flexible hasta ver semanas consecutivas con descenso de casos.","mid",0.00898434487545307,2741,371.379020675826,25.5016417365925,413,55.9575102295206,0.0069445348834237,,,-68.0630136986301,-63.0285714285714,"2020-03-19",109,"https://drive.google.com/open?id=10laIJtUpqoTyguQo__WhTUvryKMRQbf7",7,"gray",2,"gray",1,"gray",46,"gray",1,"gray",16,"gray",14,"gray",55,"gray",150,"good",114,"good",58,"mid",154,"good",119,"good",159,"good",111,"good",59,"good",165,"good",106,"good",59,"good",154,"good",111,"good",59,"good",154,"good",86,"good",56,"good",167,"good",86,"good",56,"good",86,"good",56,"good",146,"good",97,"mid",137,"mid",79,"mid",146,"good",97,"mid",154,"good",103,"good",72,"good",147,"good",90,"mid",72,"good",154,"good",103,"good",72,"good",57,"bad",176,"good",105,"mid",200,"good",82,"mid",192,"good",207,"good",149,"good",130,"gray",62,"gray",92,"gray",82,"gray",88,"gray",53,"gray",51,"gray",96,"gray",,,,,,,72,"gray",,,109,"gray",72,"gray",72,"gray",4,"good",9,"good"
