"yesterday","today","Cambio","Región","País","Casos totales","Casos últ. 7 / mil hab","Casos últ. 7 / mil hab ayer"
1,1,0,"São Paulo","Brasil","558,685.0","11,314.0","10,405.0"
2,2,0,"Distrito Capital","Colombia","101,955.0","3,438.0","3,438.0"
3,3,0,"Bahia","Brasil","166,154.0","3,341.0","3,341.0"
4,4,0,"Minas Gerais","Brasil","127,106.0","2,899.0","2,899.0"
5,5,0,"Santa Catarina","Brasil","84,073.0","2,752.0","2,752.0"
6,6,0,"Ceará","Brasil","173,882.0","2,151.0","2,151.0"
7,7,0,"Paraná","Brasil","76,112.0","2,015.0","2,015.0"
8,8,0,"Buenos Aires","Argentina","87,528.0","1,988.0","1,988.0"
9,9,0,"Distrito Federal","Brasil","106,292.0","1,982.0","1,982.0"
10,10,0,"Rio de Janeiro","Brasil","165,495.0","1,651.0","1,651.0"
11,11,0,"Antioquia","Colombia","32,759.0","1,548.0","1,548.0"
12,12,0,"Pernambuco","Brasil","95,005.0","1,423.0","1,423.0"
13,13,0,"Pará","Brasil","154,685.0","1,204.0","1,204.0"
14,14,0,"Paraíba","Brasil","82,794.0","1,197.0","1,197.0"
15,15,0,"Sergipe","Brasil","58,713.0","1,083.0","1,083.0"
16,16,0,"Espírito Santo","Brasil","83,292.0","1,062.0","1,062.0"
17,17,0,"Estado de México","México","52,183.0","868.0","868.0"
18,18,0,"Alagoas","Brasil","59,725.0","858.0","858.0"
19,19,0,"Ciudad de México","México","72,343.0","842.0","842.0"
20,20,0,"Atlántico","Colombia","52,313.0","747.0","747.0"
21,21,0,"Tocantins","Brasil","24,824.0","694.0","694.0"
22,22,0,"Mato Grosso del Sur","Brasil","24,936.0","661.0","661.0"
23,23,0,"Valle del Cauca","Colombia","24,660.0","606.0","606.0"
24,24,0,"Roraima","Brasil","32,016.0","583.0","583.0"
25,25,0,"Rio Grande del Norte","Brasil","50,416.0","560.0","560.0"
26,26,0,"Guanajuato","México","20,155.0","555.0","555.0"
27,27,0,"La Paz","Bolivia","15,595.0","521.0","521.0"
28,28,0,"Metropolitana de Santiago","Chile","253,688.0","466.0","466.0"
29,29,0,"Santa Cruz","Bolivia","33,990.0","443.0","443.0"
30,30,0,"Nuevo León","México","16,441.0","388.0","388.0"
31,31,0,"Tamaulipas","México","15,142.0","386.0","386.0"
32,32,0,"Cochabamba","Bolivia","8,582.0","369.0","369.0"
33,33,0,"Veracruz","México","20,605.0","367.0","367.0"
34,34,0,"San Luis Potosí","México","8,951.0","362.0","362.0"
35,35,0,"Tabasco","México","20,930.0","311.0","311.0"
36,36,0,"San José","Costa Rica","10,484.0","307.0","307.0"
37,37,0,"Bolívar","Colombia","18,240.0","303.0","303.0"
38,38,0,"Puebla","México","19,573.0","297.0","297.0"
39,39,0,"Coahuila","México","12,318.0","273.0","273.0"
40,40,0,"Sonora","México","17,464.0","270.0","270.0"
41,41,0,"Cundinamarca","Colombia","8,500.0","254.0","254.0"
42,42,0,"Arequipa","Perú","13,480.0","253.0","253.0"
43,43,0,"Cortés","Honduras","15,052.0","252.0","252.0"
44,44,0,"Lima","Perú","16,461.0","242.0","242.0"
45,45,0,"Ica","Perú","12,213.0","234.0","234.0"
46,46,0,"Jalisco","México","12,819.0","223.0","223.0"
47,47,0,"Nariño","Colombia","7,970.0","215.0","215.0"
48,48,0,"Yucatán","México","9,438.0","210.0","210.0"
49,49,0,"Amapá","Brasil","36,468.0","209.0","209.0"
50,50,0,"Santander","Colombia","3,749.0","191.0","191.0"
51,51,0,"Magdalena","Colombia","6,138.0","187.0","187.0"
52,52,0,"Pichincha","Ecuador","14,919.0","180.0","180.0"
53,53,0,"Acre","Brasil","19,625.0","176.0","176.0"
54,54,0,"San Salvador","El Salvador","6,785.0","170.0","170.0"
55,55,0,"Bio-Bio","Chile","11,317.0","164.0","164.0"
56,56,0,"Valparaíso","Chile","17,580.0","157.0","157.0"
57,57,0,"Guerrero","México","10,654.0","153.0","153.0"
58,58,0,"Michoacán","México","9,759.0","148.0","148.0"
59,59,0,"Quintana Roo","México","7,545.0","140.0","140.0"
60,60,0,"Oaxaca","México","10,336.0","137.0","137.0"
61,61,0,"Norte de Santander","Colombia","2,342.0","136.0","136.0"
62,62,0,"Sucre","Colombia","5,928.0","136.0","136.0"
63,63,0,"Antofagasta","Chile","14,754.0","135.0","135.0"
64,64,0,"Jujuy","Argentina","2,279.0","131.0","131.0"
65,65,0,"Áncash","Perú","11,796.0","127.0","127.0"
66,66,0,"Loreto","Perú","11,292.0","116.0","116.0"
67,67,0,"Hidalgo","México","6,688.0","112.0","112.0"
68,68,0,"Baja California","México","13,304.0","110.0","110.0"
69,69,0,"Baja California Sur","México","4,237.0","107.0","107.0"
70,70,0,"Cesar","Colombia","3,116.0","105.0","105.0"
71,71,0,"Maule","Chile","9,042.0","104.0","104.0"
72,72,0,"Tarapacá","Chile","8,797.0","102.0","102.0"
73,73,0,"Francisco Morazán","Honduras","14,229.0","102.0","102.0"
74,74,0,"La Libertad","Perú","14,550.0","93.0","93.0"
75,75,0,"Puno","Perú","2,178.0","91.0","91.0"
76,76,0,"Meta","Colombia","2,759.0","87.0","87.0"
77,77,0,"Campeche","México","4,448.0","86.0","86.0"
78,78,0,"Sinaloa","México","12,519.0","85.0","85.0"
79,79,0,"Tolima","Colombia","2,574.0","84.0","84.0"
80,80,0,"Oruro","Bolivia","3,073.0","81.0","81.0"
81,81,0,"Ucayali","Perú","9,941.0","80.0","80.0"
82,82,0,"Santo Domingo de los Tsáchilas","Ecuador","3,679.0","79.0","79.0"
83,83,0,"Ayacucho","Perú","3,726.0","79.0","79.0"
84,84,0,"Lambayeque","Perú","16,815.0","79.0","79.0"
85,85,0,"Piura","Perú","20,687.0","79.0","79.0"
86,86,0,"Coquimbo","Chile","5,913.0","78.0","78.0"
87,87,0,"Loja","Ecuador","2,610.0","78.0","78.0"
88,88,0,"Alto Paraná","Paraguay","1,997.0","77.0","77.0"
89,89,0,"Alajuela","Costa Rica","2,819.0","75.0","75.0"
90,90,0,"Cusco","Perú","3,808.0","74.0","74.0"
91,91,0,"Los Lagos","Chile","3,635.0","72.0","72.0"
92,92,0,"Zacatecas","México","2,609.0","72.0","72.0"
93,93,0,"Manabí","Ecuador","6,565.0","71.0","71.0"
94,94,0,"Chihuahua","México","5,137.0","71.0","71.0"
95,95,0,"Cauca","Colombia","1,896.0","70.0","70.0"
96,96,0,"Mendoza","Argentina","1,215.0","69.0","69.0"
97,97,0,"Amazonas","Perú","4,997.0","66.0","66.0"
98,98,0,"Azuay","Ecuador","3,439.0","64.0","64.0"
99,99,0,"Tlaxcala","México","4,482.0","64.0","64.0"
100,100,0,"Caquetá","Colombia","934.0","63.0","63.0"
101,101,0,"Atlántida","Honduras","1,822.0","63.0","63.0"
102,102,0,"La Libertad","El Salvador","2,080.0","62.0","62.0"
103,103,0,"Junín","Perú","6,947.0","62.0","62.0"
104,104,0,"Madre de Dios","Perú","3,274.0","62.0","62.0"
105,105,0,"Arica y Parinacota","Chile","4,060.0","61.0","61.0"
106,106,0,"Colima","México","1,748.0","61.0","61.0"
107,107,0,"Chaco","Argentina","3,579.0","60.0","60.0"
