"yesterday","today","Cambio","Región","País","Casos totales","Casos totales / mil. hab.","Casos totales / mil. hab. ayer"
1,1,0,"Hermanas Mirabal","República Dominicana","237.0","28.0","28.0"
2,2,0,"Madre de Dios","Perú","2,372.0","25.0","25.0"
3,3,0,"Amapá","Brasil","30,763.0","22.0","22.0"
4,4,0,"Amazonas","Brasil","82,507.0","15.0","15.0"
5,5,0,"Lima","Perú","161,220.0","15.0","15.0"
6,6,0,"Duarte","República Dominicana","774.0","13.0","13.0"
7,7,0,"La Vega","República Dominicana","858.0","12.0","12.0"
8,8,0,"Beni","Bolivia","4,435.0","11.0","11.0"
9,9,0,"Sánchez Ramírez","República Dominicana","248.0","11.0","11.0"
10,10,0,"Lambayeque","Perú","14,818.0","10.0","10.0"
11,11,0,"Pernambuco","Brasil","70,100.0","9.0","9.0"
12,12,0,"Rio de Janeiro","Brasil","129,443.0","9.0","9.0"
13,13,0,"Espaillat","República Dominicana","529.0","9.0","9.0"
14,14,0,"Ceará","Brasil","131,000.0","8.0","8.0"
15,15,0,"São Paulo","Brasil","359,110.0","8.0","8.0"
16,16,0,"Metropolitana de Santiago","Chile","233,845.0","8.0","8.0"
17,17,0,"Callao","Perú","18,921.0","8.0","8.0"
18,18,0,"Guayas","Ecuador","16,453.0","7.0","7.0"
19,19,0,"Pasco","Perú","1,280.0","7.0","7.0"
20,20,0,"María Trinidad Sánchez","República Dominicana","126.0","7.0","7.0"
21,21,0,"Monseñor Nouel","República Dominicana","324.0","7.0","7.0"
22,22,0,"Puerto Plata","República Dominicana","343.0","7.0","7.0"
23,23,0,"Tierra del Fuego Antártida e Islas del Atlántico Sur","Argentina","154.0","6.0","6.0"
24,24,0,"Espírito Santo","Brasil","61,356.0","6.0","6.0"
25,25,0,"Roraima","Brasil","21,220.0","6.0","6.0"
26,26,0,"Antofagasta","Chile","11,077.0","6.0","6.0"
27,27,0,"Araucanía","Chile","3,538.0","6.0","6.0"
28,28,0,"Ocotepeque","Honduras","120.0","6.0","6.0"
29,29,0,"Tumbes","Perú","3,309.0","6.0","6.0"
30,30,0,"Distrito Federal","Brasil","65,677.0","5.0","5.0"
31,31,0,"Santa Catarina","Brasil","38,408.0","5.0","5.0"
32,32,0,"Loreto","Perú","9,727.0","5.0","5.0"
33,33,0,"La Romana","República Dominicana","447.0","5.0","5.0"
34,34,0,"Buenos Aires","Argentina","48,837.0","4.0","4.0"
35,35,0,"Santa Fe","Argentina","485.0","4.0","4.0"
36,36,0,"Oruro","Bolivia","1,546.0","4.0","4.0"
37,37,0,"Acre","Brasil","15,768.0","4.0","4.0"
38,38,0,"Cañar","Ecuador","595.0","4.0","4.0"
39,39,0,"Santa Elena","Ecuador","986.0","4.0","4.0"
40,40,0,"Moquegua","Perú","1,254.0","4.0","4.0"
41,41,0,"La Altagracia","República Dominicana","262.0","4.0","4.0"
42,42,0,"San Cristóbal","República Dominicana","805.0","4.0","4.0"
43,43,0,"Chaco","Argentina","2,496.0","3.0","3.0"
44,44,0,"Río Negro","Argentina","1,057.0","3.0","3.0"
45,45,0,"Maranhão","Brasil","96,718.0","3.0","3.0"
46,46,0,"Rio Grande del Norte","Brasil","38,265.0","3.0","3.0"
47,47,0,"Arica y Parinacota","Chile","2,322.0","3.0","3.0"
48,48,0,"Ñuble","Chile","2,782.0","3.0","3.0"
49,49,0,"Carchi","Ecuador","422.0","3.0","3.0"
50,50,0,"El Oro","Ecuador","2,329.0","3.0","3.0"
51,51,0,"Los Ríos","Ecuador","2,571.0","3.0","3.0"
52,52,0,"Morona Santiago","Ecuador","1,244.0","3.0","3.0"
53,53,0,"Áncash","Perú","9,286.0","3.0","3.0"
54,54,0,"Huánuco","Perú","3,493.0","3.0","3.0"
55,55,0,"Ica","Perú","9,140.0","3.0","3.0"
56,56,0,"San Pedro de Macorí­s","República Dominicana","126.0","3.0","3.0"
57,57,0,"Santiago","República Dominicana","1,352.0","3.0","3.0"
58,58,0,"Corrientes","Argentina","125.0","2.0","2.0"
59,59,0,"Mendoza","Argentina","263.0","2.0","2.0"
60,60,0,"Goiás","Brasil","33,876.0","2.0","2.0"
61,61,0,"Paraíba","Brasil","57,614.0","2.0","2.0"
62,62,0,"Paraná","Brasil","37,424.0","2.0","2.0"
63,63,0,"Maule","Chile","6,700.0","2.0","2.0"
64,64,0,"Valparaíso","Chile","14,053.0","2.0","2.0"
65,65,0,"Amazonas","Colombia","2,406.0","2.0","2.0"
66,66,0,"Bolívar","Ecuador","828.0","2.0","2.0"
67,67,0,"Chimborazo","Ecuador","959.0","2.0","2.0"
68,68,0,"Loja","Ecuador","1,297.0","2.0","2.0"
69,69,0,"Pastaza","Ecuador","962.0","2.0","2.0"
70,70,0,"Pichincha","Ecuador","10,414.0","2.0","2.0"
71,71,0,"Amazonas","Perú","3,238.0","2.0","2.0"
72,72,0,"Apurímac","Perú","620.0","2.0","2.0"
73,73,0,"San Martín","Perú","6,433.0","2.0","2.0"
74,74,0,"Ucayali","Perú","8,558.0","2.0","2.0"
75,75,0,"Azua","República Dominicana","180.0","2.0","2.0"
76,76,0,"Peravia","República Dominicana","101.0","2.0","2.0"
77,77,0,"Santo Domingo","República Dominicana","3,698.0","2.0","2.0"
78,78,0,"Santa Cruz","Bolivia","23,411.0","1.0","1.0"
79,79,0,"Bahia","Brasil","101,186.0","1.0","1.0"
80,80,0,"Mato Grosso","Brasil","25,264.0","1.0","1.0"
81,81,0,"Mato Grosso del Sur","Brasil","11,063.0","1.0","1.0"
82,82,0,"Minas Gerais","Brasil","70,086.0","1.0","1.0"
83,83,0,"Pará","Brasil","122,674.0","1.0","1.0"
84,84,0,"Rio Grande del Sur","Brasil","37,490.0","1.0","1.0"
85,85,0,"Rondônia","Brasil","26,000.0","1.0","1.0"
86,86,0,"Atacama","Chile","1,467.0","1.0","1.0"
87,87,0,"Bio-Bio","Chile","8,151.0","1.0","1.0"
88,88,0,"Los Lagos","Chile","2,099.0","1.0","1.0"
