"yesterday","today","Cambio","Región","País","Casos totales","Movilidad diario ult. semana","Movilidad diario ult. semana ayer"
1,1,0,"Tarija","Bolivia","537.0","-72 %","-73 %"
5,2,3,"Cochabamba","Bolivia","3,468.0","-70 %","-63 %"
2,3,-1,"Tarapacá","Chile","6,508.0","-65 %","-65 %"
11,4,7,"Atlántico","Colombia","26,406.0","-64 %","-62 %"
3,5,-2,"Río Negro","Argentina","699.0","-63 %","-63 %"
6,6,0,"Antofagasta","Chile","10,119.0","-63 %","-63 %"
7,7,0,"Valparaíso","Chile","13,051.0","-63 %","-63 %"
8,8,0,"Francisco Morazán","Honduras","5,173.0","-63 %","-63 %"
4,9,-5,"Chuquisaca","Bolivia","637.0","-62 %","-63 %"
10,10,0,"Metropolitana de Santiago","Chile","228,208.0","-62 %","-62 %"
9,11,-2,"Santa Cruz","Bolivia","17,873.0","-61 %","-62 %"
12,12,0,"Bolívar","Colombia","10,134.0","-61 %","-62 %"
14,13,1,"Buenos Aires","Argentina","40,282.0","-60 %","-59 %"
13,14,-1,"Jujuy","Argentina","187.0","-60 %","-60 %"
15,15,0,"Magdalena","Colombia","2,081.0","-59 %","-59 %"
16,16,0,"Ica","Perú","8,314.0","-59 %","-59 %"
20,17,3,NA,"Bolivia","40,509.0","-58 %","-57 %"
18,18,0,NA,"Chile","295,532.0","-58 %","-58 %"
19,19,0,"Lambayeque","Perú","14,259.0","-58 %","-58 %"
17,20,-3,"Potosí","Bolivia","641.0","-57 %","-58 %"
21,21,0,"Ñuble","Chile","2,577.0","-57 %","-57 %"
45,22,23,"Sucre","Colombia","1,683.0","-56 %","-53 %"
31,23,8,NA,"Panamá","39,334.0","-56 %","-55 %"
25,24,1,"Arequipa","Perú","7,807.0","-56 %","-56 %"
26,25,1,"Huánuco","Perú","2,900.0","-56 %","-56 %"
27,26,1,"Moquegua","Perú","1,122.0","-56 %","-56 %"
22,27,-5,"Los Ríos","Chile","724.0","-55 %","-56 %"
23,28,-5,"O’ Higgins","Chile","7,068.0","-55 %","-56 %"
24,29,-5,"Amazonas","Perú","2,717.0","-55 %","-56 %"
32,30,2,"Callao","Perú","18,406.0","-55 %","-55 %"
33,31,2,"Cusco","Perú","1,932.0","-55 %","-55 %"
35,32,3,"San Martín","Perú","5,947.0","-55 %","-55 %"
28,33,-5,"Tacna","Perú","1,034.0","-55 %","-56 %"
37,34,3,"Chaco","Argentina","2,262.0","-54 %","-54 %"
29,35,-6,"Chubut","Argentina","153.0","-54 %","-55 %"
38,36,2,"Neuquén","Argentina","569.0","-54 %","-54 %"
30,37,-7,"Coquimbo","Chile","3,434.0","-54 %","-55 %"
40,38,2,"Áncash","Perú","8,652.0","-54 %","-54 %"
34,39,-5,"Piura","Perú","17,838.0","-54 %","-55 %"
36,40,-4,"La Altagracia","República Dominicana","262.0","-54 %","-55 %"
48,41,7,"Cortés","Honduras","6,863.0","-53 %","-52 %"
46,42,4,NA,"Honduras","24,665.0","-53 %","-53 %"
41,43,-2,"La Libertad","Perú","10,956.0","-53 %","-54 %"
42,44,-2,"Lima","Perú","165,307.0","-53 %","-54 %"
43,45,-2,NA,"Perú","305,703.0","-53 %","-54 %"
39,46,-7,"Oruro","Bolivia","878.0","-52 %","-54 %"
44,47,-3,"Araucanía","Chile","3,399.0","-52 %","-53 %"
47,48,-1,"Junín","Perú","4,292.0","-52 %","-53 %"
49,49,0,"Magallanes y Antartica Chilena","Chile","1,486.0","-51 %","-51 %"
51,50,1,"Tumbes","Perú","3,146.0","-51 %","-51 %"
54,51,3,"San Salvador","El Salvador","1,608.0","-50 %","-50 %"
59,52,7,"Atlántida","Honduras","367.0","-50 %","-49 %"
50,53,-3,"Cajamarca","Perú","2,587.0","-50 %","-51 %"
52,54,-2,"Entre Ríos","Argentina","325.0","-49 %","-50 %"
57,55,2,NA,"Argentina","80,434.0","-49 %","-49 %"
53,56,-3,"Bio-Bio","Chile","7,456.0","-49 %","-50 %"
58,57,1,"Maule","Chile","6,265.0","-49 %","-49 %"
55,58,-3,"Apurímac","Perú","593.0","-49 %","-50 %"
56,59,-3,"Ayacucho","Perú","1,982.0","-49 %","-50 %"
60,60,0,"Madre de Dios","Perú","2,196.0","-49 %","-49 %"
63,61,2,"Los Lagos","Chile","1,930.0","-48 %","-48 %"
64,62,2,"La Paz","El Salvador","129.0","-48 %","-48 %"
65,63,2,NA,"El Salvador","8,307.0","-48 %","-48 %"
70,64,6,"La Paz","Honduras","132.0","-48 %","-47 %"
66,65,1,"Quintana Roo","México","3,437.0","-48 %","-48 %"
61,66,-5,"Beni","Bolivia","4,041.0","-47 %","-48 %"
62,67,-5,"La Paz","Bolivia","2,882.0","-47 %","-48 %"
67,68,-1,"Chocó","Colombia","1,833.0","-47 %","-47 %"
68,69,-1,"La Libertad","El Salvador","289.0","-47 %","-47 %"
69,70,-1,"Comayagua","Honduras","110.0","-47 %","-47 %"
71,71,0,"Yucatán","México","4,138.0","-46 %","-46 %"
72,72,0,"San Miguel","El Salvador","138.0","-45 %","-45 %"
74,73,1,"Puno","Perú","1,045.0","-45 %","-45 %"
73,74,-1,"Santa Ana","El Salvador","202.0","-44 %","-45 %"
79,75,4,"Loreto","Perú","9,374.0","-44 %","-44 %"
81,76,5,"Atacama","Chile","1,253.0","-43 %","-43 %"
75,77,-2,"Cesar","Colombia","1,272.0","-43 %","-44 %"
83,78,5,"La Guajira","Colombia","596.0","-43 %","-43 %"
76,79,-3,"Quindío","Colombia","177.0","-43 %","-44 %"
77,80,-3,"Esmeraldas","Ecuador","2,207.0","-43 %","-44 %"
78,81,-3,"Manabí","Ecuador","4,647.0","-43 %","-44 %"
95,82,13,"Campeche","México","1,810.0","-43 %","-42 %"
88,83,5,"Pando","Bolivia","567.0","-42 %","-42 %"
80,84,-4,"Arica y Parinacota","Chile","2,006.0","-42 %","-43 %"
82,85,-3,"Caldas","Colombia","271.0","-42 %","-43 %"
84,86,-2,"Ahuachapán","El Salvador","171.0","-42 %","-43 %"
92,87,5,"Sonsonate","El Salvador","146.0","-42 %","-42 %"
93,88,5,"Choluteca","Honduras","403.0","-42 %","-42 %"
94,89,5,"Yoro","Honduras","284.0","-42 %","-42 %"
85,90,-5,"Ciudad de México","México","47,047.0","-42 %","-43 %"
86,91,-5,"Ucayali","Perú","8,170.0","-42 %","-43 %"
87,92,-5,"Corrientes","Argentina","119.0","-41 %","-42 %"
97,93,4,"Amazonas","Colombia","2,335.0","-41 %","-41 %"
98,94,4,"Nariño","Colombia","3,740.0","-41 %","-41 %"
89,95,-6,"Santander","Colombia","945.0","-41 %","-42 %"
99,96,3,"Morona Santiago","Ecuador","1,000.0","-41 %","-41 %"
91,97,-6,"Pichincha","Ecuador","8,924.0","-41 %","-42 %"
96,98,-2,"Pasco","Perú","1,184.0","-41 %","-42 %"
101,99,2,"Santa Catarina","Brasil","25,056.0","-40 %","-40 %"
114,100,14,NA,"Costa Rica","4,621.0","-40 %","-39 %"
100,101,-1,"Napo","Ecuador","653.0","-40 %","-41 %"
90,102,-12,"Pastaza","Ecuador","830.0","-40 %","-42 %"
107,103,4,"Tungurahua","Ecuador","1,243.0","-40 %","-40 %"
111,104,7,"Boyacá","Colombia","418.0","-39 %","-39 %"
112,105,7,"Distrito Capital","Colombia","35,266.0","-39 %","-39 %"
102,106,-4,"Tolima","Colombia","1,103.0","-39 %","-40 %"
103,107,-4,NA,"Colombia","120,281.0","-39 %","-40 %"
104,108,-4,"Imbabura","Ecuador","716.0","-39 %","-40 %"
105,109,-4,"Loja","Ecuador","1,095.0","-39 %","-40 %"
106,110,-4,"Orellana","Ecuador","838.0","-39 %","-40 %"
108,111,-3,"Chiapas","México","4,339.0","-39 %","-40 %"
109,112,-3,"Guerrero","México","5,183.0","-39 %","-40 %"
110,113,-3,"Oaxaca","México","5,081.0","-39 %","-40 %"
113,114,-1,"Norte de Santander","Colombia","370.0","-38 %","-39 %"
115,115,0,"Zamora Chinchipe","Ecuador","615.0","-38 %","-39 %"
121,116,5,"Piauí","Brasil","19,753.0","-37 %","-37 %"
116,117,-1,"Cundinamarca","Colombia","3,183.0","-37 %","-38 %"
117,118,-1,"Risaralda","Colombia","611.0","-37 %","-38 %"
123,119,4,"Azuay","Ecuador","1,935.0","-37 %","-37 %"
118,120,-2,"Bolívar","Ecuador","755.0","-37 %","-38 %"
119,121,-2,"Chimborazo","Ecuador","823.0","-37 %","-38 %"
120,122,-2,"Sucumbíos","Ecuador","521.0","-37 %","-38 %"
