"yesterday","today","Cambio","País","Casos totales","Movilidad diario ult. semana","Movilidad diario ult. semana ayer"
1,1,0,"Puerto Rico","8,714","-20 %","-21 %"
2,2,0,"Nicaragua","2,519","-24 %","-26 %"
4,3,1,"Brasil","1,755,779","-26 %","-27 %"
3,4,-1,"Paraguay","2,638","-26 %","-26 %"
5,5,0,"República Dominicana","40,790","-28 %","-28 %"
6,6,0,"Uruguay","965","-28 %","-29 %"
7,7,0,"Venezuela","8,372","-28 %","-29 %"
8,8,0,"México","282,283","-32 %","-32 %"
9,9,0,"Ecuador","65,018","-35 %","-36 %"
10,10,0,"Colombia","133,973","-39 %","-39 %"
11,11,0,"Costa Rica","5,836","-41 %","-40 %"
12,12,0,"El Salvador","8,844","-47 %","-48 %"
13,13,0,"Argentina","90,680","-49 %","-49 %"
15,14,1,"Perú","316,448","-49 %","-53 %"
14,15,-1,"Honduras","26,384","-53 %","-53 %"
16,16,0,"Panamá","42,216","-56 %","-56 %"
18,17,1,"Chile","306,216","-58 %","-59 %"
17,18,-1,"Bolivia","42,984","-59 %","-58 %"
