"yesterday","today","Cambio","Región","País","Casos totales","Prom. aumento diario ult. semana","Prom. aumento diario ult. semana ayer"
4,1,3,"El Oro","Ecuador","2,329.0","-38 %","-32 %"
3,2,1,"Arica y Parinacota","Chile","2,322.0","-37 %","-34 %"
2,3,-1,"Buenos Aires","Argentina","48,837.0","-36 %","-36 %"
162,4,158,"Sucumbíos","Ecuador","642.0","-36 %","31 %"
1,5,-4,"Nuevo León","México","8,428.0","-30 %","-45 %"
73,6,67,"Morelos","México","3,316.0","-29 %","-9 %"
16,7,9,"Chaco","Argentina","2,496.0","-27 %","-23 %"
5,8,-3,"Roraima","Brasil","21,220.0","-27 %","-27 %"
6,9,-3,"La Unión","El Salvador","267.0","-27 %","-27 %"
7,10,-3,"Minas Gerais","Brasil","70,086.0","-26 %","-26 %"
32,11,21,"Cundinamarca","Colombia","3,643.0","-26 %","-19 %"
119,12,107,"Durango","México","2,535.0","-26 %","2 %"
8,13,-5,"Alto Paraná","Paraguay","936.0","-26 %","-26 %"
9,14,-5,"Río Negro","Argentina","1,057.0","-25 %","-25 %"
171,15,156,"Huila","Colombia","416.0","-25 %","49 %"
10,16,-6,"Santa Bárbara","Honduras","560.0","-25 %","-25 %"
120,17,103,"Hidalgo","México","4,446.0","-25 %","2 %"
150,18,132,"Zacatecas","México","1,212.0","-25 %","18 %"
11,19,-8,"Paraná","Brasil","37,424.0","-24 %","-24 %"
12,20,-8,"Piauí","Brasil","31,269.0","-24 %","-24 %"
13,21,-8,"Rio Grande del Norte","Brasil","38,265.0","-24 %","-24 %"
14,22,-8,"Tocantins","Brasil","13,845.0","-24 %","-24 %"
15,23,-8,"Francisco Morazán","Honduras","9,731.0","-24 %","-24 %"
129,24,105,"Oaxaca","México","7,228.0","-24 %","5 %"
17,25,-8,"Acre","Brasil","15,768.0","-23 %","-23 %"
18,26,-8,"Amapá","Brasil","30,763.0","-23 %","-23 %"
19,27,-8,"Distrito Federal","Brasil","65,677.0","-23 %","-23 %"
20,28,-8,"Santa Catarina","Brasil","38,408.0","-23 %","-23 %"
131,29,102,"Tungurahua","Ecuador","1,453.0","-23 %","6 %"
21,30,-9,"Cortés","Honduras","11,162.0","-23 %","-23 %"
22,31,-9,"Espírito Santo","Brasil","61,356.0","-22 %","-22 %"
23,32,-9,"Rio de Janeiro","Brasil","129,443.0","-22 %","-22 %"
24,33,-9,"Rio Grande del Sur","Brasil","37,490.0","-22 %","-22 %"
25,34,-9,"São Paulo","Brasil","359,110.0","-22 %","-22 %"
26,35,-9,"Choluteca","Honduras","773.0","-22 %","-22 %"
117,36,81,"Chihuahua","México","3,484.0","-22 %","2 %"
126,37,89,"Jalisco","México","8,081.0","-22 %","4 %"
158,38,120,"Tlaxcala","México","3,093.0","-22 %","25 %"
124,39,85,"Campeche","México","2,693.0","-21 %","3 %"
116,40,76,"Chiapas","México","5,050.0","-21 %","2 %"
118,41,77,"Colima","México","821.0","-21 %","2 %"
145,42,103,"Guanajuato","México","10,707.0","-21 %","13 %"
111,43,68,"Michoacán","México","6,570.0","-21 %","1 %"
90,44,46,"Puebla","México","13,752.0","-21 %","-2 %"
156,45,111,"Quintana Roo","México","4,570.0","-21 %","23 %"
80,46,34,"San Luis Potosí","México","4,054.0","-21 %","-6 %"
144,47,97,"Coahuila","México","6,484.0","-20 %","13 %"
