"yesterday","today","Cambio","País","Casos totales","Prom. aumento diario ult. semana","Prom. aumento diario ult. semana ayer"
1,1,0,"Guatemala","41,135","62.0 %","66.0 %"
4,2,2,"Paraguay","4,000","35.0 %","16.0 %"
2,3,-1,"Uruguay","1,138","28.0 %","40.0 %"
19,4,15,"Cuba","2,462","27.0 %","-13.0 %"
3,5,-2,"Ecuador","80,370","17.0 %","17.0 %"
8,6,2,"Brasil","2,227,514","15.0 %","5.0 %"
18,7,11,"Costa Rica","12,361","8.0 %","-3.0 %"
5,8,-3,"Argentina","141,900","6.0 %","8.0 %"
14,9,5,"Bolivia","64,135","6.0 %","0.0 %"
9,10,-1,"Colombia","218,428","6.0 %","5.0 %"
11,11,0,"El Salvador","12,975","2.0 %","2.0 %"
12,12,0,"Perú","366,550","2.0 %","2.0 %"
13,13,0,"México","362,274","1.0 %","1.0 %"
10,14,-4,"República Dominicana","56,043","1.0 %","4.0 %"
17,15,2,"Puerto Rico","8,714","0.0 %","0.0 %"
7,16,-9,"Venezuela","13,164","0.0 %","7.0 %"
6,17,-11,"Honduras","36,122","-2.0 %","8.0 %"
16,18,-2,"Panamá","55,906","-3.0 %","0.0 %"
15,19,-4,"Chile","334,683","-12.0 %","0.0 %"
20,20,0,"Guadalupe","195","-14.0 %","-14.0 %"
21,21,0,"Martinica","262","-14.0 %","-14.0 %"
22,22,0,"Nicaragua","3,439","-14.0 %","-14.0 %"
